title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Software Engineer 4 - Contingent,PTR Global,https://www.dice.com/job-detail/5851b678-2053-404c-874b-7d3a11e47449,"Job Description: Engineer on Kanban agile delivery team supporting data warehouse / data analytics environment. Handson ETL developer role. Tech stack - Unix, Autosys, Ab Initio (ETL), Teradata Pay Range: $70-77$/hr on w2 (No C2C only W2) Skillset Priority: Ab Initio ETL developer Data Warehouse concepts and processing architectures Teradata / SQL UNIX In this contingent resource assignment, candidate may: Consult on complex initiatives with broad impact and largescale planning for Softwa","Charlotte, North Carolina",09/09/2025,Today,Full-time,USD 70.00 - 77.00 per hour,Easy Apply,Applied
"Senior Python Data Engineer, REMOTE, 2+ Years",Amtex Enterprises,https://www.dice.com/job-detail/7fd3a329-150c-4c92-bc41-29c23a278c52,"Hi, Senior Python Data Engineer Location: REMOTE WORK SCHEDULE Duration: 2 Year SUMMARY: We are seeking a skilled Senior Level Python Data Engineer to join our team in Houston, TX and supporting one of our key clients out of California. As a Senior Python Data Engineer, you will be responsible for designing, implementing, and maintaining data pipelines to support our data-driven business. You will also be responsible for developing and maintaining their APIs using the FASTAPI framework and SQL A",Remote,09/09/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Salesforce Architect -Agentforce & AI Solutions,Turing IT Labs,https://www.dice.com/job-detail/505419e8-f638-48f3-bff7-a9aebcfb5cb1,"10-15 years of Salesforce platform experience, including solution design and custom developmentProven, hands-on expertise with Agentforce, Data Cloud, and Salesforce AI tools (Einstein AI and generative AI integrations)Deep understanding of Salesforce core concepts and Hands-on custom development using Apex, LWC, Flows, API Integrations and security models","Hybrid in Lebanon, New Jersey",09/09/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Data engineer,"eTek IT Services, Inc.",https://www.dice.com/job-detail/f36966cc-6050-4035-bf59-a6e9748c7d44,"Data engineer VA/IL/TX/hybrid long term contract AWS(EMR/Glue, S3, Lambda, Cloudwatch), Python/Java, Spark, Databricks, SQL, Bash)Python use: scripting, building new data pipelines (not app dev)Data warehousing experience (Snowflake)APIsAgile engineering practices & JIRA usage","Hybrid in McLean, Virginia",09/12/2025,Today,"Third Party, Contract",Depends on Experience,Easy Apply,Applied
Senior Business Analyst,S Linx LLC,https://www.dice.com/job-detail/4d8a9514-e03a-48bc-ad86-eb7a707ca047,"Senior Business Analyst Remote Work Hours: Full-time, 7:45 AM 4:30 PM EST (excluding State holidays)Duration: Up to 2 years ResponsibilitiesIdentify and analyze business and technical needs of stakeholders.Develop user stories, requirements, and journey maps following EPMO standards.Ensure requirements are clear, consistent, and in both technical and user-friendly language.Conduct business analysis in compliance with State, Agency, and Federal requirements.Collaborate with internal staff, State",Remote,09/09/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
AI/ML Engineer,DRC Systems USA LLC,https://www.dice.com/job-detail/dab8e9d1-cc9d-4427-96a0-09129d30655f,"Only W2 (No C2C / Third Party Vendor) Job Title: AI/ML Engineer Location: Reston, VA (Local candidates only) We are hiring an AI/ML Engineer with strong expertise in MLOps, DevOps, and AI/ML Operations. This role will focus on Python development, AWS infrastructure, agentic AI frameworks, and cloud-based automation. Responsibilities: Build & support AI/ML operational pipelines Work with agentic frameworks (LangChain, AutoGen) Develop automation scripts in Python Manage AWS services & IAM best",Virginia,09/12/2025,Today,"Full-time, Contract",,Easy Apply,Applied
System-level Software engineer,"Echo IT Solutions, Inc.",https://www.dice.com/job-detail/aa27947a-e871-42ae-8a55-443cc314e973,"Dear Applicant, We are excited to share an excellent opportunity with one of our leading clients for a System-level Software engineer in Mountain View, CA If this role matches your expertise, please apply with your most updated resume for consideration.Job Title: System-level Software engineerLocation: Mountain View, CA Hybrid Role Duration: Contract PositionThe requirement is for System-level engineers with expertise in OS, kernel, and driver-level development.Mandatory Skills:Google CloudGoK","Hybrid in Mountain View, California",09/09/2025,Today,"Contract, Third Party",Depends on Experience,Easy Apply,Applied
Lead Business Analyst,Naztec International Group LLC,https://www.dice.com/job-detail/b100cacf-357c-448f-8ca5-f1970fdc18a5,"Hi, This is Praveen from Naztek Group. We are Hiring for below role please share me your resume if interested. Role-Lead Business Analyst Location- Broadway, New York Client-Kforce Job Description- RetailUse Case and User Story DevelopmentAgile/Scrum/Project ManagementWireframing toolsERP or merchandising systems (e.g., Oracle Retail, SAP, Blue Yonder)Understanding of Import Logistics and Tariff law a plus","New York, New York",09/15/2025,Today,"Contract, Third Party","$45,000 - $60,000",Easy Apply,Applied
Technical Business / Data Analyst,"Motion Recruitment Partners, LLC",https://www.dice.com/job-detail/8b8c9c4a-aaa3-4687-8063-feff141c054e,"Outstanding long-term contract opportunity! Senior Technical Business Analyst / Data Analyst in Charlotte, NC (Hybrid). Join top talent at a leading global institution. Enjoy long-term contract perks with competitive benefits! Thriving on innovation in the digital era, our renowned company is dedicated to meeting customers' needs and fostering success. Apply now! Contract Duration: 12 Months Required Skills & Experience: 5+ years of Business and/or Data Analyst or equivalent demonstrated through","Charlotte, North Carolina",09/09/2025,Today,Full-time,50/hr - 62/hr,Easy Apply,Applied
Senior/Lead Software Engineer,INSPYR Solutions,https://www.dice.com/job-detail/63872a25-1afd-4d04-8b66-301bda9ee397,"Title: Senior/Lead Software Engineer Location: Brookhaven, GA on site 4 days per week. Compensation: $140K to $155K direct hire role. No contract or third party candidates please. Work Requirements: , Holders or Authorized to Work in the US Job Description: The Sr. Application developer will work on developing new applications and maintaining legacy applications. New applications are built using the latest .NET Core technologies that will utilize Azure and event hub technologies. They will be","Hybrid in Atlanta, Georgia",09/09/2025,Today,Full-time,BASED ON EXPERIENCE,Easy Apply,Applied
