title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Data Scientist V,PTR Global,https://www.dice.com/job-detail/408a1a82-ecce-470b-8ba1-c21c896c52d7,"Position: Data Scientist V Client Location: Menlo Park, California Work Mode: 100% Remote Duration: 2 Year Contract Job ID: 169267 Job Overview: We are seeking a highly skilled Data Scientist with 10 years of industry experience to join our team. The successful candidate will have a strong background in data analysis, statistical modeling, and data visualization, as well as excellent communication skills. This role will involve working closely with stakeholders to define objectives, analyze","Menlo Park, California",08/07/2025,Today,Full-time,Compensation information provided in the description,Easy Apply,Applied
Order Fulfillment Coordinator - Onsite,VIVA USA INC,https://www.dice.com/job-detail/cf868ca2-18d2-46a6-8dea-52969e447a4f,"Title: Order Fulfillment Coordinator - Onsite Mandatory skills: MS Excel, Service Parts orders, product configuration, product availability, shipment, warehouse, measure parts, packaging, Microsoft documents, databases, equipment and machines, office systems, data management systems, supply chain management, facilities management, communications system, Data Control, Data Collection, Data Analysis, design, communication, plan, decision making Description: Job Responsibilities: The primary resp","Milan, Illinois",08/11/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Data Analyst/Health Data Analyst,"TekLeaders, Inc",https://www.dice.com/job-detail/c5f5b4f0-ec37-494b-b593-e5a2fe889072,"Role: Healthcare Data Analyst Duration: 12+ Months Location: NYC, NY (100% Remote) Key Responsibilities: Extract, transform, and analyze large datasets using Python, PySpark, and SQL. Design and build ETL pipelines to support data integration and warehousing needs. Develop dashboards and reports using tools like Tableau or Power BI. Interpret data trends and provide actionable insights to stakeholders. Collaborate with cross-functional teams to support data-driven decision-making. Ensure data i","Remote or New York, New York",08/07/2025,Today,"Full-time, Part-time, Contract, Third Party",,Easy Apply,Applied
Director of Data Architecture,Oscar Technology,https://www.dice.com/job-detail/228fc522-4497-48d0-a0ff-3c634932dacb,"A well-established organization that manages supply chain operations and procurement analytics for one of North America's largest restaurant brand portfolios is looking for a Data Engineer with strong Palantir Foundry experience to help supercharge their operations. This is an amazing opportunity to come in at a director level, manage two direct reports, and drive significant improvements across the organization! The ideal candidate is a hands-on builder with deep Foundry expertise, solid cloud","Atlanta, Georgia",08/06/2025,Today,Full-time,$140000 - $180000 per annum,Easy Apply,Applied
AI/ML Engineer,Raas Infotek LLC,https://www.dice.com/job-detail/ef7ff576-102e-4851-89ee-4f771fbcf4b8,"Position: AI/ML Engineer Contract: W2 Only ResponsibilitiesDesign, develop, and deploy machine learning models and AI solutions for enterprise-scale applications across structured and unstructured data.Collaborate with cross-functional teams to gather business requirements, perform data exploration, and define model objectives and success metrics.Build and optimize end-to-end ML pipelines, including data ingestion, preprocessing, model training, evaluation, and deployment.Perform advanced data a","Remote or Fairfield, New Jersey",08/06/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Snowflake Data Engineer,"Acadia Technologies, Inc.",https://www.dice.com/job-detail/f2d2b721-39c7-487c-8809-8dfd6192a06e,"Technical Skills:SQL Proficiency:Snowflake is a SQL-based platform, so strong SQL skills are essential for querying, data manipulation, and defining data structures. Data Modeling:This includes designing robust data models that support business requirements, creating schemas, defining relationships, and ensuring data integrity within Snowflake. ETL/ELT Processes:Knowledge and experience with ETL (Extract, Transform, Load) and ELT (Extract, Load, Transform) processes are vital for efficiently m","New York, New York",08/06/2025,Today,Full-time,"$60,000 - $80,000",Easy Apply,Applied
"Senior Linux Systems Engineer, Low Latency - R",Next Step Systems,https://www.dice.com/job-detail/0f48504e-4de6-4808-a68f-e6da55f26687,"Senior Linux Systems Engineer, Low Latency, Chicago, IL We are looking to hire a highly talented Senior Linux Systems Engineer to join the technology team. This Senior Linux Systems Engineer position is 100% Onsite and NOT open for Remote. Senior Linux Systems Engineer Responsibilities: - Work collaboratively with technology and business teams on all aspects of a global trading and research infrastructure. - Research and implement enhancements to infrastructure systems as well as automation and","Chicago, Illinois",08/11/2025,Today,Full-time,"$150,000 - $175,000",Easy Apply,Applied
Business Data Analyst - Only on W2,Sriven Systems Inc.,https://www.dice.com/job-detail/9950d535-deca-4560-8610-ac5e82d28cc2,"1) Snowflake knowledge - direct experience with Snowflake environment; basic level of understanding how Snowflake works, how data ingesting works; 2) Data Warehousing - strong understanding of how data ingesting works; navigate data sourcing; experience in Source to Target Mapping and creating documents; Resolve data quality issues (eg. data duplication, data validation) 3) Understanding SQL 4) Strong communication and business acumen; will be interacting with business teams",Remote,08/11/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
AI Governance Analyst,"AIT Global, Inc.",https://www.dice.com/job-detail/8422cb75-ffb5-4881-beb9-d76b4dd250fe,"Job Title: AI Governance Analyst Location: Toronto, ON (hybrid) Job Summary: The AI Governance Analyst plays a key role in ensuring the responsible and ethical development, deployment, and oversight of artificial intelligence (AI) systems within the organization. This role focuses on aligning AI initiatives with legal, regulatory, ethical, and risk management standards to ensure compliance, transparency, and fairness in AI-driven decision-making. Governance Framework Development: Support the d","Toronto, Ontario",08/11/2025,Today,Third Party,,Easy Apply,Applied
Program Manager with AI/ML,"Technogen, Inc.",https://www.dice.com/job-detail/725b55bf-392a-4086-8362-b091515e2f67,"TECHNOGEN, Inc. is a Proven Leader in providing full IT Services, Software Development and Solutions for 15 years. TECHNOGEN is a Small & Woman Owned Minority Business with GSA Advantage Certification. We have offices in VA; MD & Offshore development centers in India. We have successfully executed 100+ projects for clients ranging from small business and non-profits to Fortune 50 companies and federal, state and local agencies. Hi, Role: Program Manager with AI/ML Duration: FTE / CTH / Contrac","San Francisco, California",08/05/2025,Today,Full-time,,Easy Apply,Applied
Senior Systems/Data Analyst,Dexian DISYS,https://www.dice.com/job-detail/ba294564-7a15-4ee7-8770-ed9f66133eca,"Senior Systems/ Data Analyst Smithfield, RI or Merrimack, NH Onsite Hybrid Experience: B.S. in Computer Science, Engineering, Mathematics, or equivalent experience. 5-7+ years of Systems and Data Analysis experience within the IT field, financial services preferred. Strong experience in data analysis, data modelling and hands on experience in Oracle/Postgres/other relational databases. Experience with ETL frameworks, databases and SQL. Swagger experience preferred. Experience in Snowflake data w","Smithfield, Rhode Island",08/06/2025,Today,Contract,,Easy Apply,Applied
